5.642448980,New Point
6.989206349,New Point
7.662585034,New Point
8.405623583,New Point
9.079002268,New Point
10.448979592,New Point
10.727619048,New Point
11.145578231,New Point
12.445895692,New Point
12.979954649,New Point
13.862312925,New Point
15.905668934,New Point
16.137868481,New Point
16.532607710,New Point
17.879365079,New Point
18.668843537,New Point
19.365442177,New Point
19.992380952,New Point
20.688979592,New Point
21.432018141,New Point
22.128616780,New Point
24.427392290,New Point
24.845351474,New Point
25.495510204,New Point
26.772607710,New Point
27.167346939,New Point
27.445986395,New Point
28.583764172,New Point
28.955283447,New Point
29.884081633,New Point
30.255600907,New Point
31.300498866,New Point
31.648798186,New Point
32.624036281,New Point
33.041995465,New Point
33.947573696,New Point
34.365532880,New Point
35.363990930,New Point
35.689070295,New Point
36.757188209,New Point
37.082267574,New Point
37.825306122,New Point
38.150385488,New Point
38.429024943,New Point
39.473922902,New Point
39.845442177,New Point
40.867120181,New Point
41.238639456,New Point
42.260317460,New Point
42.562176871,New Point
43.235555556,New Point
43.932154195,New Point
44.860952381,New Point
45.255691610,New Point
46.323809524,New Point
46.648888889,New Point
49.272743764,New Point
50.712380952,New Point
52.128798186,New Point
53.452335601,New Point
54.891972789,New Point
56.238730159,New Point
57.678367347,New Point
59.675283447,New Point
61.718639456,New Point
63.111836735,New Point
64.435374150,New Point
65.201632653,New Point
65.967891156,New Point
68.545306122,New Point
71.331700680,New Point
73.375056689,New Point
73.676916100,New Point
74.164535147,New Point
75.093333333,New Point
75.511292517,New Point
76.486530612,New Point
76.834829932,New Point
79.528344671,New Point
80.433922902,New Point
80.851882086,New Point
81.873560091,New Point
82.245079365,New Point
83.220317460,New Point
83.545396825,New Point
84.590294785,New Point
84.985034014,New Point
85.937052154,New Point
86.262131519,New Point
87.283809524,New Point
87.678548753,New Point
88.723446712,New Point
89.048526077,New Point
89.721904762,New Point
90.046984127,New Point
90.395283447,New Point
91.393741497,New Point
91.788480726,New Point
92.810158730,New Point
93.158458050,New Point
94.156916100,New Point
94.505215420,New Point
95.201814059,New Point
95.851972789,New Point
96.223492063,New Point
96.873650794,New Point
97.221950113,New Point
98.266848073,New Point
98.615147392,New Point
98.940226757,New Point
99.683265306,New Point
100.635283447,New Point
101.030022676,New Point
101.355102041,New Point
102.330340136,New Point
102.725079365,New Point
103.700317460,New Point
104.095056689,New Point
104.443356009,New Point
105.093514739,New Point
105.465034014,New Point
105.836553288,New Point
106.440272109,New Point
106.811791383,New Point
107.160090703,New Point
107.833469388,New Point
108.158548753,New Point
108.506848073,New Point
109.203446712,New Point
109.621405896,New Point
109.923265306,New Point
110.550204082,New Point
110.921723356,New Point
111.618321995,New Point
111.966621315,New Point
112.314920635,New Point
112.640000000,New Point
113.313378685,New Point
113.661678005,New Point
114.056417234,New Point
114.636916100,New Point
115.054875283,New Point
115.983673469,New Point
116.331972789,New Point
117.005351474,New Point
117.701950113,New Point
118.096689342,New Point
118.677188209,New Point
119.095147392,New Point
120.070385488,New Point
120.418684807,New Point
123.344399093,New Point
124.621496599,New Point
125.294875283,New Point
125.619954649,New Point
126.014693878,New Point
127.454331066,New Point
128.104489796,New Point
128.917188209,New Point
130.171065760,New Point
130.774784580,New Point
131.169523810,New Point
131.587482993,New Point
133.561179138,New Point
133.863038549,New Point
134.327437642,New Point
135.604535147,New Point
137.160272109,New Point
138.414149660,New Point
142.384761905,New Point
144.404897959,New Point
144.660317460,New Point
144.869297052,New Point
145.171156463,New Point
147.191292517,New Point
147.469931973,New Point
147.702131519,New Point
148.003990930,New Point
148.514829932,New Point
149.025668934,New Point
149.211428571,New Point
151.324444444,New Point
151.742403628,New Point
152.067482993,New Point
153.298140590,New Point
154.296598639,New Point
154.621678005,New Point
154.969977324,New Point
155.666575964,New Point
156.130975057,New Point
156.386394558,New Point
157.106213152,New Point
157.408072562,New Point
157.733151927,New Point
158.383310658,New Point
158.801269841,New Point
159.149569161,New Point
159.776507937,New Point
160.124807256,New Point
160.473106576,New Point
161.146485261,New Point
161.541224490,New Point
161.796643991,New Point
162.493242630,New Point
162.818321995,New Point
163.166621315,New Point
163.514920635,New Point
163.863219955,New Point
164.165079365,New Point
165.233197279,New Point
165.535056689,New Point
165.953015873,New Point
166.649614512,New Point
166.905034014,New Point
167.230113379,New Point
167.949931973,New Point
168.344671202,New Point
168.600090703,New Point
169.319909297,New Point
169.644988662,New Point
169.993287982,New Point
170.620226757,New Point
171.038185941,New Point
171.363265306,New Point
172.454603175,New Point
173.824580499,New Point
175.124897959,New Point
175.333877551,New Point
175.705396825,New Point
175.960816327,New Point
176.425215420,New Point
176.657414966,New Point
177.098594104,New Point
177.400453515,New Point
177.980952381,New Point
178.515011338,New Point
178.793650794,New Point
179.141950113,New Point
179.536689342,New Point
179.861768707,New Point
180.302947846,New Point
180.651247166,New Point
181.138866213,New Point
182.717823129,New Point
182.950022676,New Point
183.460861678,New Point
185.480997732,New Point
185.829297052,New Point
186.177596372,New Point
188.081632653,New Point
188.522811791,New Point
188.963990930,New Point
