Country,Longitude,Latitude
Fiji,163.85316464458234,-17.31630942638265
United Republic of Tanzania,34.75298985475595,-6.257732428506092
Western Sahara,-12.13783111160779,24.291172960208623
Canada,-98.14238137209708,61.46907614534896
United States of America,-112.5994359115045,45.70562800215178
Kazakhstan,67.2846109811001,48.19166075218232
Uzbekistan,63.20363952823182,41.748602664652246
Papua New Guinea,145.31757462782247,-6.451644514630347
Indonesia,117.42340756227364,-2.221737936520542
Argentina,-65.17536077114173,-35.4468214894951
Chile,-71.5206439451643,-39.04701430994844
Democratic Republic of the Congo,23.582955831479083,-2.8502757110956667
Somalia,45.72670076723565,4.752347756504953
Kenya,37.791555286661385,0.5959662521769523
Sudan,29.862604012257922,15.990585003116717
Chad,18.581329525332894,15.328867399839682
Haiti,-72.65801330535574,18.900700691843337
Dominican Republic,-70.46235845697531,18.884487087982258
Russia,96.80331818290134,61.961663494923
The Bahamas,-77.92997080393516,25.515491725336624
United Kingdom,-59.42097279311021,-51.71322176551185
Norway,15.468119955206761,69.15685630975351
Denmark,-41.50018111492097,74.77048769398986
France,69.5315804704237,-49.306454911671985
East Timor,125.96630027368401,-8.767760362467003
South Africa,25.048013879861678,-28.947033259979115
Lesotho,28.170105295170494,-29.625290493692013
Mexico,-102.5763495239869,23.935371902244835
Uruguay,-56.003278666548475,-32.780904365230825
Brazil,-53.05434003576711,-10.806773643498916
Bolivia,-64.64140560603113,-16.72898701530584
Peru,-74.39180581684722,-9.191562905134553
Colombia,-73.07773208697478,3.927213862709704
Panama,-80.10916483549376,8.530019388864652
Costa Rica,-84.17542309600948,9.965671127464528
Nicaragua,-85.02031850080252,12.848190428036988
Honduras,-86.58996383801542,14.822947081652929
El Salvador,-88.87290317032377,13.726091625794197
Guatemala,-90.36945836053154,15.699360612026911
Belize,-88.70342125299318,17.197089911451545
Venezuela,-66.16382727830238,7.162132267639002
Guyana,-58.97120310856251,4.790225375174759
Suriname,-55.91145629952073,4.1200080317588865
France,-2.8766966992706267,42.46070432663372
Ecuador,-78.38416674608374,-1.4547717055405804
United States of America,-66.47922227695507,18.2372245709719
Jamaica,-77.32425480164892,18.137636127868436
Cuba,-78.96068490970256,21.631751541025228
Zimbabwe,29.788548371892524,-18.906987947858802
Botswana,23.773081465789428,-22.099711378826413
Namibia,17.156168126194093,-22.099776931731068
Senegal,-14.50980278585943,14.354139988452022
Mali,-3.543294339453343,17.267772061700715
Mauritania,-10.326396925234992,20.20926720635376
Benin,2.337377553496156,9.647430780663699
Niger,9.324427099857923,17.345552814745542
Nigeria,7.995127754089786,9.548318418209965
Cameroon,12.611551546501774,5.663095287992696
Togo,0.9964039436703582,8.439541954669616
Ghana,-1.2369685557063992,7.928651813099648
Ivory Coast,-5.6120436452252225,7.5537550070104915
Guinea,-11.060853741185456,10.44827287727134
Guinea-Bissau,-15.110623751667879,12.022704382325685
Liberia,-9.410836154371117,6.431619862252993
Sierra Leone,-11.795257428559948,8.53035372615305
Burkina Faso,-1.77653745205594,12.311650494136712
Central African Republic,20.374347291243915,6.5427787059213145
Republic of the Congo,15.13446176741353,-0.8378010872252886
Gabon,11.687751174902044,-0.6470481398040288
Equatorial Guinea,10.366031325064027,1.6458643199600753
Zambia,27.727591918760577,-13.395067553524187
Malawi,34.193605326922366,-13.172834992341919
Mozambique,35.47261597864435,-17.230448975659677
eSwatini,31.39525590206532,-26.48985528852001
Angola,17.47057255231345,-12.245869036133188
Burundi,29.91389229542573,-3.3773910753554657
Israel,35.003851206429005,31.4849193900197
Lebanon,35.87098632001643,33.91182720781994
Madagascar,46.69117091471639,-19.356114077828778
Israel,35.27331962289024,31.94113662241515
Gambia,-15.431872807730837,13.47533435870166
Tunisia,9.534716120695835,34.172939036882376
Algeria,2.5980477916183444,28.185481278657537
Jordan,36.77945490632519,31.245490584748417
United Arab Emirates,54.20671476159633,23.86863365334761
Qatar,51.1835025789133,25.32185097420669
Kuwait,47.600098887626416,29.307266634033564
Iraq,43.75691096461423,33.03682096372491
Oman,56.09867281997542,20.611174374229545
Vanuatu,167.07375126822674,-15.542677057554924
Cambodia,104.87608532525192,12.684728629393506
Thailand,101.00613354626108,15.01697499141648
Laos,103.75025989504465,18.444978089036088
Myanmar,96.50584094206161,21.016999873773827
Vietnam,106.28584079705195,16.657937753254938
North Korea,127.16501590888976,40.14302033650109
South Korea,127.8213171283307,36.42759860415487
Mongolia,102.94640620846634,46.82368112626357
India,79.59370376325381,22.92500640740852
Bangladesh,90.26792827719598,23.83946179534406
Bhutan,90.4724248062037,27.427968649102027
Nepal,84.01317367692529,28.23944001904935
Pakistan,69.41399806318127,29.973460025547393
Afghanistan,66.08669022192831,33.85639928169076
Tajikistan,71.03443504896113,38.58308146421082
Kyrgyzstan,74.62040481092558,41.50689371318262
Turkmenistan,59.27543026236141,39.09124018017583
Iran,54.285451496891426,32.51891731762539
Syria,38.54423941961137,35.012614281129
Armenia,45.00029001101479,40.21660761230143
Sweden,16.59626584684802,62.811484968080336
Belarus,27.98135261544803,53.50634479481114
Ukraine,31.229122070266495,49.14882260840351
Poland,19.31101430844868,52.14826021933187
Austria,14.076158884337072,47.6139487927463
Hungary,19.357628627745918,47.19995117195427
Moldova,28.41048279080328,47.20367642606752
Romania,24.943252494635377,45.857101035738005
Lithuania,23.88064027584349,55.284319484766066
Latvia,24.833296149803438,56.80717513427924
Estonia,25.824725613026608,58.643695426630906
Germany,10.288485092742851,51.13372269040778
